Name,Frequency
HACIBEY,435
MURAD,435
HAŞMET,434
BÜNYAMİ,433
AHMET CEMAL,431
ALİ YAŞAR,431
BEHLÜL,430
NESİH,430
SÖNMEZ,430
TAYİP,430
HÜSREV,427
MEMET SALİH,427
MUĞDAT,427
SADO,424
SADRİ,424
ŞADAN,424
HELİM,423
MEHMET SİRAÇ,423
RUFAT,423
SELAM,423
ÜLKÜ,423
TEMER,422
ŞAHAN,422
BOSTAN,421
RECAYİ,421
ŞEBAP,421
ABDULHEKİM,420
MEVLİT,420
NUSRAT,419
OGÜN,419
RÜŞAN,419
ZİYADDİN,419
ŞÜKÜR,418
ZAİM,417
MEHMET DURAN,416
MUHUTTİN,416
KURBANİ,415
SEYİTALİ,415
YAVER,415
BARBAROS,414
KUDBETTİN,413
MEMET NURİ,413
MISTIK,413
ENSARİ,410
NEJMETTİN,409
SAKİN,408
NÜRETTİN,407
SULEYMAN,407
SELAMETTİN,406
ABDULCABBAR,404
MEHMET FEVZİ,404
ŞEKİP,404
AHMET TEVFİK,403
DAŞTAN,403
FERİK,403
MEHMET HAMDİ,403
SERTAN,403
ŞERAFEDDİN,403
HACI MEMET,402
BARAN,399
HACI MURAT,399
MUHYEDDİN,399
AZEM,398
HÜSAMEDDİN,397
MEHMET NEDİM,397
ZÜBEYT,397
MAİL,396
MEHMET KADRİ,396
TEMİR,396
YUNÜS,396
EDHEM,395
MUSLU,395
SELVET,395
İNAYET,395
ABDÜLHALİM,394
FEDAYİ,394
MUŞTAK,394
MÜHİTTİN,394
YETİŞ,394
CEVAHİR,393
NEZİH,393
ABDUL,391
ADO,391
ALİ MURAT,391
EFRAİL,391
VAKAS,391
SAFET,390
İSMAYİL,390
AHMET HİLMİ,388
FASİH,388
ŞERAFET,387
DİYADİN,386
ÖMER LÜTFÜ,386
HACI ABDULLAH,384
NAFIZ,384
İLHAM,384
BERKAN,383
AHMET NECATİ,382
ATİF,382
BEKİR SAMİ,382
HULKİ,382
FEREMEZ,381
NURDOĞAN,381
ŞAHBENDER,381
ŞABETTİN,380
ELBEYİ,379
SEBAHİTTİN,379
DEMİRALİ,377
HASAN HÜSNÜ,377
MEHMET SALİM,377
CAFER TAYYAR,376
DURGUT,376
ZEYNİ,376
İLYAZ,376
RASİH,375
ÇAKIR,375
MEHMET ADİL,374
MEHMET RAŞİT,373
AHMET ZİYA,372
MEHMET EŞREF,372
ALİ FAİK,371
DERYA,371
HIFZI,371
URFAN,370
ÇAVUŞ,370
SELEHATTİN,369
VAHİTTİN,369
MEHMET TURAN,368
SABAHADDİN,368
SEBAHADDİN,368
NECMİTTİN,366
KARA,365
HASARİ,364
NEVZET,364
NİZAMEDDİN,364
RASUL,364
ABDULĞAFUR,363
ERKİN,363
MEHMET ŞEVKET,363
ERDİN,362
GÜNEY,362
MECNUN,362
MEHMET NESİM,362
MEHMET ORHAN,362
RAYİF,362
MEHMET MEHDİ,361
ARMAĞAN,360
KURTCA,360
NEJMİ,360
AKAN,359
HAŞIM,359
AHMET REFİK,358
CEVZET,358
KADER,358
